time_s,amplitude
1.331,-0.02414
1.332,-0.014007
1.333,-0.0059605
1.334,-0.00059605
1.335,0.0020862
1.336,0.0020862
1.337,0.0053644
1.338,0.012219
1.339,0.0053644
1.34,-0.0041723
1.341,-0.011921
1.342,-0.022352
1.343,-0.032783
1.344,-0.047982
1.345,-0.051856
1.346,-0.04828
1.347,-0.050068
1.348,-0.058413
1.349,-0.060797
1.35,-0.046194
1.351,-0.042319
1.352,-0.0453
1.353,-0.045002
1.354,-0.047684
1.355,-0.041425
1.356,-0.031888
1.357,-0.026822
1.358,-0.018179
1.359,0.0035763
1.36,0.022352
1.361,0.030398
1.362,0.032485
1.363,0.029206
1.364,0.032485
1.365,0.031888
1.366,0.021458
1.367,0.00029802
1.368,-0.023544
1.369,-0.036061
1.37,-0.053048
1.371,-0.062287
1.372,-0.059903
1.373,-0.064671
1.374,-0.060797
1.375,-0.04828
1.376,-0.034869
1.377,-0.013411
1.378,0.0014901
1.379,0.00059605
1.38,-0.0068545
1.381,-0.014603
1.382,-0.023842
1.383,-0.032187
1.384,-0.023544
1.385,-0.014603
1.386,-0.013113
1.387,-0.0035763
1.388,-0.0044703
1.389,-0.0032783
1.39,0.0077486
1.391,0.012219
1.392,0.012517
1.393,0.0050664
1.394,-0.00029802
1.395,-0.0041723
1.396,-0.0068545
1.397,-0.0092387
1.398,-0.017583
1.399,-0.014901
1.4,-0.017583
1.401,-0.028908
1.402,-0.026524
1.403,-0.027716
1.404,-0.030994
1.405,-0.028014
1.406,-0.032485
1.407,-0.046492
1.408,-0.058711
1.409,-0.057817
